sentiment,text,user
"neutral","@clubedopairico Notícia boa para quem está em PETR4. Não, pera..a Petrobrás não sobe por conta dessas pesquisas rid… https://t.co/c4kxBhdAw4","mathhxx"
"neutral","Circuito Petrobras Rei e Rainha do Mar confirma Etapa Salvador para setembro. Pipa assina assessoria local. Saiba m… https://t.co/tfchvesRFH","pipacomunicacao"
"neutral","@sonia_schoecher @igor_agatti @carlosrbitt @David_Pikachuu @guilher19877484 @lucas_ecn @o_antagonista João Amoedo j… https://t.co/1K52kIEMi1","lenonkimc"
"neutral","@rvitoria @VOC_75 @pragmatico100 Isso foi a Dilma\nO que ele fez na petrobrás foi corrupção.\nAvaliar o governo como… https://t.co/scfHpGvaaR","femisapien_z"
"neutral","@flaviogomes69 @Juninhope08 Se mostrar q os seus \"escolhidos\" para comandar a Petrobras estavam desviando dinheiro… https://t.co/4myKUe6Blq","RubensVinicius8"
"neutral","@sonia_schoecher @carlosrbitt @lenonkimc @David_Pikachuu @guilher19877484 @lucas_ecn @o_antagonista Sim, acredito q… https://t.co/drLwAnnhyF","igor_agatti"
"neutral","@femisapien_z @VOC_75 @pragmatico100 Não dá pra falar de controle de despesas depois do que ele fez a Petrobrás gas… https://t.co/61hDHeAjBw","rvitoria"
"neutral","RT @g1economia: Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/zIlAimyy1Z","feamaraltr"
"negative","Given Petrobras’s limited short-term triggers, our analyst Vicente Falanga explains that the company is now virtual… https://t.co/dzs7SEk5A0","BBIResearch"
"neutral","RT @Leonardobulh: Bolsonaro falou que, se eleito, abrirá arquivos do BNDES e da Petrobrás. Você tem noção do que é isso? Você tem noção do…","macedolei"
"neutral","RT @g1: Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/ENEhHMCpLG #G1 https://t.co/553Q5dfSMu","oyarzabalsolan1"
"neutral","Toinho Alves tem sido um amigo : JORGE BASTOS MORENO. Não é com a Petrobras, que hoje vale a pena ser honesto no Brasil.","brancosenulos"
"neutral","RT @inntelectus: Deseja fornecer à Petrobras? Fique atento as nossas dicas: https://t.co/kpRIzmFMBa\n\n#Petrobras #CRC #CRCC https://t.co/ZVM…","RichardBenetti"
"neutral","Deseja fornecer à Petrobras? Fique atento as nossas dicas: https://t.co/kpRIzmFMBa\n\n#Petrobras #CRC #CRCC https://t.co/ZVMdbxiMEh","inntelectus"
"neutral","RT @teatro_rival: O cantor e compositor Jay Vaquer está de volta ao palco do #TeatroRivalPetrobras com o show do CD “Ecos do Acaso e Casos…","lixxxta"
"neutral","RT @g1: Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/ENEhHMCpLG #G1 https://t.co/553Q5dfSMu","UchihaGabriella"
"neutral","RT @Leonardobulh: Bolsonaro falou que, se eleito, abrirá arquivos do BNDES e da Petrobrás. Você tem noção do que é isso? Você tem noção do…","Biduxa"
"neutral","RT @MonoCastao: Bosque de Galilea, amortiguación de Sumapaz está bajo grave amenaza de petroleras como @petrobras y entidades del estado en…","druppo666"
"neutral","Qual empresa você acha que é a mais influente do mundo? 💼🏙 — Sla Petrobrás kkkkk https://t.co/OMYRbwKc2S","Rafaela94497315"
"neutral","RT @Leonardobulh: Bolsonaro falou que, se eleito, abrirá arquivos do BNDES e da Petrobrás. Você tem noção do que é isso? Você tem noção do…","Nano770909651"
"neutral","Refinaria de Paulínia continua paralisada, informa Petrobras https://t.co/x5FRRmFCzT via @agenciabrasil","Ubrabio"
"neutral","RT @Omar_r47m4ch1n3: @JotaInfo por Sonegação Fiscal\n\nCaoa (Hyundai) - Mitsubishi - Ford\nPetrobras - Grupo RBS - Rede Globo \nBRF - JBS\nCerve…","FridaGalo13"
"neutral","El Merval cayó a su menor nivel en 7 semanas afectado por Petrobras y bancos.\nhttps://t.co/8aicuNcTUi","rosariofinanzas"
"neutral","RT @allantercalivre: Sabe aquele momento do tiroteio que a prega anal se transforma em uma muralha de titânio? É assim que estão os demais…","QuintaoNilson"
"neutral","RT @OcupandoJuntos: O plano de Henrique Meirelles para o setor energético https://t.co/GF6zKypXzt #Petrobras #Eletrobras","OcupandoJuntos"
"neutral","RT @OcupandoJuntos: A #ideia de Álvaro Dias para a Petrobras https://t.co/kdy48Bc0Ia #setorenergético #Eleições2018","OcupandoJuntos"
"neutral","RT @g1economia: Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/zIlAimyy1Z","laercio_queiroz"
"neutral","RT @OcupandoJuntos: Alckmin defende privatização de “entorno da Petrobras” https://t.co/7SoS1lmK7y #proposta #Presidenciáveis","OcupandoJuntos"
"neutral","RT @OcupandoJuntos: Ciro Gomes quer fortalecer Petrobras e recriar fundo #soberano https://t.co/BvL2jb0rsL #Presidenciáveis #petróleo #prés…","OcupandoJuntos"
"positive","Which do you think is the most influential company in the world? 💼🏙 — Petrobrás https://t.co/i3Nuyuhj4d","leopessoa_jf"
"neutral","@JotaInfo por Sonegação Fiscal\n\nCaoa (Hyundai) - Mitsubishi - Ford\nPetrobras - Grupo RBS - Rede Globo \nBRF - JBS\nCe… https://t.co/Vkn5ZIjdgO","Omar_r47m4ch1n3"
"neutral","RT @g1: Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/ENEhHMCpLG #G1 https://t.co/553Q5dfSMu","LeehRE"
"neutral","https://t.co/FSwMN7hGrr","Mbeca"
"neutral","Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/8THjzziEvl","dimas_bndes"
"neutral","@teamlibertywalk @scorreia901 @UVJLibertaria @JornalOGlobo https://t.co/LnDQJsS7b0","ccn_sandra"
"neutral","RT @boletim2016: #CiroGomes quer fortalecer #Petrobras e recriar fundo soberano https://t.co/MqGEBzsmDF","boletim2016"
"neutral","RT @boletim2016: As propostas de #MarinaSilva para o Setor Energético https://t.co/SnVMvWy9RA #petrobras #eletrobras","boletim2016"
"neutral","@MonicaWaldvogel O pior é o discurso vigarista deste povo. A corrupção da petrobras é culpa do sistema político, o… https://t.co/CkFveKUrPp","Carlosloureir15"
"neutral","RT @boletim2016: A ideia de #ÁlvaroDias para a Petrobras https://t.co/dK8XOX6tWe #eleição #combustíveis","boletim2016"
"neutral","RT @boletim2016: #GeraldoAlckmin defende #privatização de “entorno da Petrobras” https://t.co/5UwRXkEuLI","boletim2016"
"neutral","vou assistir os programas do Ciro Gomes até Lula estar livre.porque não aceito as decisões desses in justos sem jui… https://t.co/zzGQVewXo7","GLACYLEO"
"neutral","El Merval perdió ayer 0,7% con respecto al viernes de la semana anterior, en una rueda con marcada selectividad y v… https://t.co/UXzn7pG8k2","IndValores"
"neutral","Sindicato vai acompanhar a apuração das causas do acidente na Replan. Comissão iniciou as investigações nesta terça… https://t.co/gxEIU8PPsh","PETROLEIROS_SP"
"neutral","RT @g1: Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/ENEhHMCpLG #G1 https://t.co/553Q5dfSMu","WilliansVenanc3"
"neutral","RT @g1: Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/ENEhHMCpLG #G1 https://t.co/553Q5dfSMu","WorldfriendsW"
"neutral","RT @g1: Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/ENEhHMCpLG #G1 https://t.co/553Q5dfSMu","Rhenansouza03"
"neutral","RT @boletim2014: #Ciro Gomes quer fortalecer Petrobras e recriar #fundo soberano https://t.co/TTRsr6FOyN #eleições","boletim2014"
"neutral","RT @g1economia: Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/zIlAimyy1Z","RamonMatos19"
"neutral","RT @boletim2014: #Alckmin defende privatização de “entorno da Petrobras” https://t.co/AEP3ssEx2F #combustíveis","boletim2014"
"neutral","RT @boletim2014: A ideia de #Álvaro Dias para a #Petrobras https://t.co/WAUt6UgldL #planodegoverno","boletim2014"
"neutral","De Petrobras a Ambev: 14 empresas que se destacaram nesta temporada de resultados https://t.co/bdNZXquep7?","garimpodeacoes"
"neutral","Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/ENEhHMCpLG #G1 https://t.co/553Q5dfSMu","g1"
"neutral","falae ô ze gotinha da petrobras","luiznickeel"
"positive","@FaustoRochars @EducaSSales @BlogdoNoblat Sim. Presidenta honestíssima que:\nDeu um rombo de 3 bi em Pasadena;\nTinha… https://t.co/qrZ8U4146j","Ferreirao78"
"positive","@crfbiamedeiros Um sonho ainda não realizado, só faltou a camisa do Flamengo de 2008 com patrocínio da Petrobras hahahaha","GustavoBBH"
"neutral","RT @Bartleb47410330: @ernani_neto @causa_operaria Espero q esse tipo de opinião \"Br tradic se manifesta nas urnas\" não predomine. Só até ag…","geancarlobc"
"neutral","A organização criminosa que depenou a Petrobras está defiando em todos os estados do Brasil..\nEm São Paulo 4% das i… https://t.co/27IFCPCzbb","edsonbahiag4"
"neutral","Petrobras volta a cobrar mais de R$ 2 pela gasolina nas refinarias https://t.co/zIlAimyy1Z","g1economia"
"positive","Petrobras refinery halts, Samarco away from production, stock recommendations and more news\n\rhttps://t.co/LcWdrh2qPJ","EmfiSecurities"
"neutral","Curtas e debate na Cinemateca Capitólio Petrobras\nhttps://t.co/JjyAQr7lG4 https://t.co/XBcax58Bqm","Prefeitura_POA"
"neutral","RT @allantercalivre: Sabe aquele momento do tiroteio que a prega anal se transforma em uma muralha de titânio? É assim que estão os demais…","Paiva_Maurilio"
"neutral","RT @teatro_rival: O cantor e compositor Jay Vaquer está de volta ao palco do #TeatroRivalPetrobras com o show do CD “Ecos do Acaso e Casos…","pseudoruiva_"
"neutral","@ernani_neto @causa_operaria Espero q esse tipo de opinião \"Br tradic se manifesta nas urnas\" não predomine. Só até… https://t.co/adKQgFNfEB","Bartleb47410330"
"neutral","@VEJA @Datafolha @DilmaResiste @blogdadilma13 ACREDITAR EM PESQUISAS DO DATAFOLHA É PARA IDIOTAS E OTARIOS, O DATAF… https://t.co/vRgl6SDEOv","IsmaelsoaresTw"
"neutral","RT @teatro_rival: O cantor e compositor Jay Vaquer está de volta ao palco do #TeatroRivalPetrobras com o show do CD “Ecos do Acaso e Casos…","jayvaquer"
"neutral","Qual empresa você acha que é a mais influente do mundo? 💼🏙 — Do mundo eu não sei , mais do Brasil eu acho a Petrobr… https://t.co/slj1RfuMJu","Anacletinn"
"neutral","I'm at PETROBRAS - Parque de Tubos in Macaé, RJ https://t.co/MDhiSoUINL","naval_rj"
"neutral","RT @botecowitter: .@cirogomes quer fortalecer Petrobras e recriar #fundosoberano https://t.co/3V0HKBs09I #Eleições2018","botecowitter"
"neutral","RT @botecowitter: A ideia de @alvarodias_ para a Petrobras https://t.co/uteR2CAtYN #propostas #petróleo #Eleições","botecowitter"
"neutral","RT @botecowitter: .@geraldoalckmin defende privatização de “entorno da #Petrobras” https://t.co/BUVZHISqUW #PlanodeGoverno","botecowitter"
"neutral","@VEJA E a roubalheira contra o BNDES, os Fundos de Pensão, Petrobrás, Eletrobras, CEF etc etc?","AntonioClaret01"
"positive","Brazil’s Petrobras offers debt exchange $9.595 bln in notes\n#OOTT #Petrobras #Brazil #debt https://t.co/gfyalCPRV3","mscullion"
"neutral","@LulaOficial @Haddad_Fernando Ae a Petrobrás teve lucro!","CandidoCarvalh"
"neutral","@cirogomes Bom dia Candidato, gostaria de saber a posicao do sr. referente a Privatizacao de Petrobras, BB e Caixa… https://t.co/VRrJEMhncs","alexenergy97"
"neutral","RT @revistavoto: A @petrobras  anunciou que o preço médio do litro da gasolina A sem tributo nas refinarias, que entra em vigor na quarta-f…","GalloMontella"
"neutral","RT @revistavoto: A @petrobras  anunciou que o preço médio do litro da gasolina A sem tributo nas refinarias, que entra em vigor na quarta-f…","___DENISE___EU_"
"neutral","#MERCADOdeCAPITALES\nEl Merval cayó a su menor nivel en 7 semanas afectado por Petrobras y bancos https://t.co/VqOMmZjQls","FIRSTCFA"
"neutral","A @petrobras  anunciou que o preço médio do litro da gasolina A sem tributo nas refinarias, que entra em vigor na q… https://t.co/Eir3ZytXWq","revistavoto"
"neutral","Tribunal de Contas liga Lula a prejuízo de R$ 1,3 bi na Petrobras https://t.co/kDTrDB6co3","RosaACL"
"neutral","Qual empresa você acha que é a mais influente do mundo? 💼🏙 — Do jacaré... ta vendendo + q a Petrobras!! 😂 https://t.co/xtCBJRxyD7","cidjunior01"
"neutral","Why Brazil's Ex-President Lula Leads Polls In An Election He Cannot Even Run In via @forbes https://t.co/p4zHj7nBuQ","JoseCardenasUSA"
"neutral","@g1politica Ou seja: começou a perseguição a Dilma Rousseff. Acabar com a Petrobrás é segundo plano","Temerrosa"
